Compound_ID,InChIKey,Name,Molecule_ChEMBL_ID,Nivel_Modelo,Modelo_Detalle,Especie,Tejido_Organo,Tipo_Ensayo,Categoria_Endpoint,Endpoint_Original,Efecto_Magnitud,Efecto_Unidad,Es_Puro,Tipo_Efecto_Direccion,Concentracion_Dosis,Tiempo_Exposicion,Target_Conocido,Mecanismo_Propuesto,Ensayo_ChEMBL_ID,Referencia_Bibliografica,Metodo_Obtencion,Efecto_pX,Efecto_Magnitud_Numerico
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,CELL-LINE,MT2,Homo sapiens,,T — Lethal dose (LD5) concentration inhibiting growth of MT-2 cells by 5%,Efecto celular (sin especificar — revisar assay_description),LD5,1389.0,uM,True,,,,,,CHEMBL711385,J Med Chem (1999) [CHEMBL1132572],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,1389.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Human immunodeficiency virus 1,Human immunodeficiency virus 1,,F — Concentration that inhibits Human Immunodeficiency Virus Type 1 (HIV-1)-induced death of MT-2 cells,Actividad antimicrobiana/antiparasitaria,ED50,1389.0,uM,True,,,,,,CHEMBL714699,J Med Chem (1999) [CHEMBL1132572],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,1389.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Human immunodeficiency virus type 1 integrase,Human immunodeficiency virus 1,,B — Inhibition of Human Immunodeficiency Virus Type 1 integrase (HIV-1 IN) in the disintegration reaction at a concentration of 25 uM,Actividad enzimática / inhibición de proteína específica,Inhibition,0.0,%,True,,,,Human immunodeficiency virus type 1 integrase,,CHEMBL872048,J Med Chem (1999) [CHEMBL1132572],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,0.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,CELL-LINE,RBL-2H3,Rattus norvegicus,,F — Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,Efecto celular (sin especificar — revisar assay_description),Inhibition,5.0,%,True,,,,,,CHEMBL769880,Bioorg Med Chem Lett (2003) [CHEMBL1136230],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,5.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Mus musculus,Mus musculus,,F — Inhibitory concentration of compound on nitric oxide (NO) production in lipopolysaccharide activated mouse peritoneal macrophages,"Estudio en organismo modelo completo (in vivo, no antimicrobiano)",IC50,100000.0,nM,True,,,,,,CHEMBL876002,Bioorg Med Chem Lett (2005) [CHEMBL1143515],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.0,100000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Mus musculus,Mus musculus,,F — Percent inhibition of nitric oxide (NO) production in lipopolysaccharide activated mouse peritoneal macrophages at 100 uM of compound,"Estudio en organismo modelo completo (in vivo, no antimicrobiano)",Inhibition,15.0,%,True,,,,,,CHEMBL827544,Bioorg Med Chem Lett (2005) [CHEMBL1143515],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,15.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Seed linoleate 13S-lipoxygenase-1,Glycine max,,B — In vitro inhibitory activity against 5-lipoxygenase obtained from potato,Actividad enzimática / inhibición de proteína específica,IC50,3000.0,nM,True,,,,Seed linoleate 13S-lipoxygenase-1,,CHEMBL881519,Bioorg Med Chem Lett (2005) [CHEMBL1143476],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.522878745280337,3000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Molecular identity unknown,,,F — Percent heme protein dependent lipid peroxidation at (1 mM) upon incubation for 10 min at 37 degree C. in pH 7.4 with arachidonic acid and H2O2,Antioxidante (radical/peroxidación),Lipid peroxidation,5.5,%,True,,,,,,CHEMBL883940,J Med Chem (2005) [CHEMBL1141112],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,5.5
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Molecular identity unknown,,,"B — Superoxide radical scavenging activity at 1 mM upon incubation for 2 min at RT in pH 7.4 with PMS, NADH and NBT by nitroblue tetrazolium method",Antioxidante (radical/peroxidación),Scavenging Activity,86.1,%,True,,,,,,CHEMBL883944,J Med Chem (2005) [CHEMBL1141112],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,86.1
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Radical scavenging activity,,,F — Antioxidant potency assessed chemically,Antioxidante (radical/peroxidación),Activity,1.2,uM,True,,,,,,CHEMBL870630,J Med Chem (2006) [CHEMBL1147741],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,1.2
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,CELL-LINE,HT-22,Mus musculus,,F — Inhibition of glutamate-induced oxytosis of mouse hippocampal HT22 cells,Efecto celular (sin especificar — revisar assay_description),EC50,10000000.0,nM,True,,,,,,CHEMBL870632,J Med Chem (2006) [CHEMBL1147741],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",2.0,10000000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,5-lipoxygenase,Solanum tuberosum,,B — Inhibitory activity against potato 5LOX,Actividad enzimática / inhibición de proteína específica,IC50,3000.0,nM,True,,,,5-lipoxygenase,,CHEMBL863190,J Med Chem (2006) [CHEMBL1138184],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.522878745280337,3000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Rattus norvegicus,Rattus norvegicus,,"F — Anti-inflammatory activity against carrageenan-induced edema in Sprague-Dawley rat paw after 3 hrs of 30 mg/kg, po","Estudio en organismo modelo completo (in vivo, no antimicrobiano)",Inhibition,8.2,%,True,,,,,,CHEMBL863194,J Med Chem (2006) [CHEMBL1138184],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,8.2
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Rattus norvegicus,Rattus norvegicus,,"F — Inhibitory activity against 4% NaCl-induced abdominal constriction in Sprague-Dawley rat after 30 min of 30 mg/kg, po","Estudio en organismo modelo completo (in vivo, no antimicrobiano)",Inhibition,47.2,%,True,,,,,,CHEMBL864364,J Med Chem (2006) [CHEMBL1138184],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,47.2
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Rattus norvegicus,Rattus norvegicus,,"F — Inhibitory activity against 4% NaCl-induced abdominal constriction in Sprague-Dawley rat after 60 min of 30 mg/kg, po","Estudio en organismo modelo completo (in vivo, no antimicrobiano)",Inhibition,58.3,%,True,,,,,,CHEMBL864367,J Med Chem (2006) [CHEMBL1138184],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,58.3
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Tyrosinase,Homo sapiens,,B — Inhibitory activity against tyrosinase at 100uM,Actividad enzimática / inhibición de proteína específica,Inhibition,10.0,%,True,,,,Tyrosinase,,CHEMBL870666,Bioorg Med Chem Lett (2006) [CHEMBL1146961],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,10.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Radical scavenging activity,,,F — Superoxide radical scavenging activity,Antioxidante (radical/peroxidación),IC50,2900.0,nM,True,,,,,,CHEMBL866286,Bioorg Med Chem Lett (2006) [CHEMBL1146996],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.5376020021010435,2900.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Radical scavenging activity,,,F — ABTS radical scavenging activity,Antioxidante (radical/peroxidación),IC50,2800.0,nM,True,,,,,,CHEMBL866285,Bioorg Med Chem Lett (2006) [CHEMBL1146996],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.552841968657781,2800.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Radical scavenging activity,,,F — DPPH radical scavenging activity,Antioxidante (radical/peroxidación),IC50,31700.0,nM,True,,,,,,CHEMBL866284,Bioorg Med Chem Lett (2006) [CHEMBL1146996],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.498940737782249,31700.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NON-MOLECULAR,NON-PROTEIN TARGET,,,F — ABTS radical scavenging activity,Antioxidante (radical/peroxidación),IC50,2800.0,nM,True,,,,,,CHEMBL855656,Bioorg Med Chem Lett (2006) [CHEMBL1138872],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.552841968657781,2800.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,F — Superoxide anion radical scavenging activity by xanthine/xanthine oxidase method,Antioxidante (radical/peroxidación),IC50,2900.0,nM,True,,,,,,CHEMBL855657,Bioorg Med Chem Lett (2006) [CHEMBL1138872],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.5376020021010435,2900.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NO TARGET,No relevant target,,,F — DPPH radical scavenging activity,Antioxidante (radical/peroxidación),IC50,30000.0,nM,True,,,,,,CHEMBL855658,Bioorg Med Chem Lett (2006) [CHEMBL1138872],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.522878745280337,30000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NO TARGET,No relevant target,,,F — DPPH radical scavenging activity,Antioxidante (radical/peroxidación),EC50,110000000.0,nM,True,,,,,,CHEMBL911898,Bioorg Med Chem Lett (2006) [CHEMBL1139724],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",0.958607314841775,110000000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Staphylococcus epidermidis,Staphylococcus epidermidis,,F — Antibacterial activity against Staphylococcus epidermidis,Actividad antimicrobiana/antiparasitaria,EC50,2780.0,nM,True,,,,,,CHEMBL918786,Bioorg Med Chem (2007) [CHEMBL1144494],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.555955204081924,2780.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Staphylococcus aureus,Staphylococcus aureus,,F — Antibacterial activity against Staphylococcus aureus,Actividad antimicrobiana/antiparasitaria,EC50,2780.0,nM,True,,,,,,CHEMBL918787,Bioorg Med Chem (2007) [CHEMBL1144494],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.555955204081924,2780.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNKNOWN,Radical scavenging activity,,,F — Antioxidant activity assessed as DPPH radical scavenging activity,Antioxidante (radical/peroxidación),IC50,3700.0,nM,True,,,,,,CHEMBL905426,Bioorg Med Chem (2007) [CHEMBL1143038],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.431798275933005,3700.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NON-MOLECULAR,NON-PROTEIN TARGET,,,F — Antioxidant activity assessed as superoxide radical anion scavenging activity,Antioxidante (radical/peroxidación),IC50,2200.0,nM,True,,,,,,CHEMBL905427,Bioorg Med Chem (2007) [CHEMBL1143038],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.657577319177793,2200.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NON-MOLECULAR,NON-PROTEIN TARGET,,,F — Antioxidant activity assessed as ABTS radical scavenging activity,Antioxidante (radical/peroxidación),IC50,25900.0,nM,True,,,,,,CHEMBL905428,Bioorg Med Chem (2007) [CHEMBL1143038],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.586700235918748,25900.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,F — Inhibition of heme-dependent lipid peroxidation,Antioxidante (radical/peroxidación),Inhibition,22.0,%,True,,,,,,CHEMBL906700,Bioorg Med Chem (2007) [CHEMBL1143747],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,22.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,F — Superoxide radical scavenging activity at 0.1 mM,Antioxidante (radical/peroxidación),Inhibition,48.0,%,True,,,,,,CHEMBL906701,Bioorg Med Chem (2007) [CHEMBL1143747],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,48.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Seed linoleate 13S-lipoxygenase-1,Glycine max,,B — Inhibition of soybean lipoxygenase,Actividad enzimática / inhibición de proteína específica,IC50,600000.0,nM,True,,,,Seed linoleate 13S-lipoxygenase-1,,CHEMBL900138,Bioorg Med Chem Lett (2007) [CHEMBL1138237],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",3.221848749616356,600000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NON-MOLECULAR,NON-PROTEIN TARGET,,,F — Antioxidant activity assessed as superoxide radical scavenging activity at 0.1 mM by nitroblue tetrazolium method,Antioxidante (radical/peroxidación),Activity,45.0,%,True,,,,,,CHEMBL899023,Bioorg Med Chem Lett (2007) [CHEMBL1138237],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,45.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,F — Ratio of IC50 for drug to trolox for DPPH radical scavenging activity,Antioxidante (radical/peroxidación),Ratio IC50,0.41,,True,,,,,,CHEMBL901086,Bioorg Med Chem Lett (2007) [CHEMBL1138306],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,0.41
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,F — Ratio of IC50 for drug to trolox for ABTS radical scavenging activity,Antioxidante (radical/peroxidación),Ratio IC50,0.66,,True,,,,,,CHEMBL901087,Bioorg Med Chem Lett (2007) [CHEMBL1138306],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,0.66
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,NON-MOLECULAR,NON-PROTEIN TARGET,,,F — Antioxidant activity assessed as superoxide radical scavenging activity by xanthine oxidase method,Antioxidante (radical/peroxidación),IC50,10200.0,nM,True,,,,,,CHEMBL901088,Bioorg Med Chem Lett (2007) [CHEMBL1138306],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.991399828238082,10200.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,B — Inhibition of p56lck SH2 domain by ELISA,Efecto bioquímico general (target no molecular),IC50,500000.0,nM,True,,,,,,CHEMBL903316,Bioorg Med Chem (2007) [CHEMBL1139924],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",3.3010299956639813,500000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,CELL-LINE,Jurkat,Homo sapiens,,F — Inhibition of Jurkat cell activation assessed as blocking of T-cell antigen receptor-induced IL-2 expression at 10 uM by luciferase assay,Señalización / expresión génica,Inhibition,2.0,%,True,,,,,,CHEMBL886117,Bioorg Med Chem (2007) [CHEMBL1139924],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,2.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Mus musculus,Mus musculus,,F — Antiinflammatory activity in CD1 mouse assessed as inhibition of croton oil-induced ear oedema at 0.3 umol/cm^2 after 6 hrs,"Estudio en organismo modelo completo (in vivo, no antimicrobiano)",Activity,6.0,%,True,,,,,,CHEMBL941908,Bioorg Med Chem Lett (2007) [CHEMBL1139817],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,6.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,B — Inhibition of beta amyloid 25-35 fibril formation at 10 uM,Efecto bioquímico general (target no molecular),Inhibition,15.0,%,True,,,,,,CHEMBL932067,Bioorg Med Chem Lett (2008) [CHEMBL1143183],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,15.0
